Word,OccurTotal,OccurNum,Freq_pm,Rating.Mean,Rating.SD,Dunno
morning,19,19,439.00,4.00,1.45,1.00
paper,18,18,103.35,4.00,1.28,1.00
pear,19,19,1.33,4.00,1.70,1.00
poop,20,20,5.59,4.00,3.11,1.00
rainy,19,19,3.80,4.00,1.49,1.00
smoke,18,18,65.43,4.00,1.50,1.00
tiger,20,20,18.53,4.00,1.59,1.00
train,18,18,95.06,4.00,1.71,1.00
wash,20,20,40.73,4.00,1.59,1.00
on,22,22,6955.73,4.01,1.28,1.00
at,22,21,3217.10,4.04,1.37,0.95
belly,19,19,15.57,4.05,1.90,1.00
chew,19,19,9.06,4.05,1.51,1.00
dinnertime,19,19,1.78,4.05,1.87,1.00
dress,19,19,87.20,4.05,1.61,1.00
fish,19,19,83.49,4.05,1.61,1.00
haircut,19,19,8.41,4.05,1.08,1.00
heavy,19,19,47.29,4.05,1.27,1.00
light,19,19,165.20,4.05,1.99,1.00
look,19,19,1947.27,4.05,1.68,1.00
mud,20,20,14.82,4.05,1.61,1.00
pet,19,19,20.18,4.05,1.87,1.00
picture,19,19,138.45,4.05,1.31,1.00
preschool,19,19,1.20,4.05,0.97,1.00
sick,19,19,165.43,4.05,2.09,1.00
stripe,19,19,1.45,4.05,1.43,1.00
tricycle,19,19,0.53,4.05,1.58,1.00
kick,18,18,73.41,4.06,1.73,1.00
pencil,18,18,9.86,4.06,1.80,1.00
schoolteacher,18,18,3.45,4.06,0.94,1.00
sticky,18,18,5.73,4.06,1.59,1.00
welcome,18,18,179.22,4.06,1.21,1.00
white,18,18,171.45,4.06,1.66,1.00
best,21,21,404.37,4.09,1.66,1.00
dancing,22,21,54.39,4.09,1.44,0.95
pretty,21,21,392.22,4.09,1.94,1.00
where,21,21,1830.22,4.09,2.06,1.00
children,22,22,175.10,4.10,1.14,1.00
ham,20,20,11.59,4.10,1.48,1.00
play,20,20,354.53,4.10,2.59,1.00
your,22,22,6445.39,4.10,1.92,1.00
breathe,19,19,48.51,4.11,1.88,1.00
bumblebee,19,19,0.65,4.11,1.37,1.00
cupcake,18,18,3.27,4.11,1.23,1.00
draw,18,18,40.41,4.11,1.13,1.00
dry,19,19,42.82,4.11,1.33,1.00
father,19,19,554.49,4.11,1.76,1.00
guy,18,18,762.61,4.11,1.91,1.00
jelly,18,18,7.12,4.11,2.11,1.00
phone,19,19,269.73,4.11,1.49,1.00
read,18,18,241.22,4.11,1.68,1.00
refrigerator,19,19,8.37,4.11,1.15,1.00
rooms,19,19,26.00,4.11,1.56,1.00
snow,19,19,31.35,4.11,2.31,1.00
square,18,18,31.76,4.11,1.18,1.00
step,18,18,118.67,4.11,1.37,1.00
television,19,19,33.90,4.11,1.76,1.00
toss,18,18,12.39,4.11,1.45,1.00
turn,19,19,306.47,4.11,1.73,1.00
sandbox,21,21,1.06,4.14,2.35,1.00
throw,21,21,128.82,4.14,1.46,1.00
christmastree,21,21,#N/A,4.14,2.59,1.00
or,22,22,1705.29,4.14,1.25,1.00
apple,20,20,23.67,4.15,1.81,1.00
horse,20,20,92.88,4.15,1.46,1.00
knife,1929,1929,46.80,4.15,1.80,1.00
lamb,20,20,10.63,4.15,1.81,1.00
quiet,20,20,117.22,4.15,1.53,1.00
slow,20,20,76.02,4.15,1.76,1.00
stairway,20,20,1.59,4.15,1.50,1.00
shoelace,19,19,0.75,4.16,1.42,1.00
swing,19,19,25.98,4.16,2.03,1.00
want,19,19,2759.18,4.16,2.32,1.00
coin,18,18,9.75,4.17,1.25,1.00
costume,18,18,14.14,4.17,1.95,1.00
feed,18,18,42.39,4.17,1.58,1.00
popcorn,18,18,9.12,4.17,1.86,1.00
silly,18,18,57.10,4.17,1.54,1.00
sky,18,18,44.80,4.17,1.89,1.00
sneeze,18,18,2.94,4.17,1.58,1.00
swim,18,18,31.80,4.17,1.72,1.00
turtle,18,18,17.04,4.17,1.58,1.00
ugly,18,18,42.16,4.17,1.20,1.00
vegetable,18,18,5.71,4.17,2.15,1.00
washcloth,18,18,0.37,4.17,2.38,1.00
yucky,18,18,0.43,4.17,2.20,1.00
us,21,21,1695.65,4.19,2.07,1.00
dig,21,21,46.22,4.19,2.34,1.00
brown,22,22,60.12,4.20,1.31,1.00
every,22,22,549.16,4.20,1.27,1.00
swimmingpool,22,22,#N/A,4.20,1.15,1.00
scream,20,20,26.41,4.20,1.58,1.00
sweep,20,20,9.51,4.20,1.61,1.00
bench,19,19,9.67,4.21,1.81,1.00
