participant_id,block,trial,image_name,posX,posY,category,set,base_name
p007,1,1,angry_3.jpg,5,6,emotions,3,angry.jpg
p007,1,1,angry_4.jpg,4,6,emotions,4,angry.jpg
p007,1,1,disgust_3.jpg,9,4,emotions,3,disgust.jpg
p007,1,1,disgust_4.jpg,10,6,emotions,4,disgust.jpg
p007,1,1,fearful_3.jpg,7,5,emotions,3,fearful.jpg
p007,1,1,fearful_4.jpg,8,5,emotions,4,fearful.jpg
p007,1,1,happy_3.jpg,7,6,emotions,3,happy.jpg
p007,1,1,happy_4.jpg,10,3,emotions,4,happy.jpg
p007,1,1,sad_3.jpg,3,5,emotions,3,sad.jpg
p007,1,1,sad_4.jpg,6,6,emotions,4,sad.jpg
p007,1,1,surprise_3.jpg,9,6,emotions,3,surprise.jpg
p007,1,1,surprise_4.jpg,9,3,emotions,4,surprise.jpg
p007,1,2,acorn_2.jpg,7,3,plants,2,acorn.jpg
p007,1,2,apple_2.jpg,9,3,plants,2,apple.jpg
p007,1,2,blueberry_2.jpg,6,6,plants,2,blueberry.jpg
p007,1,2,broccoli_2.jpg,8,1,plants,2,broccoli.jpg
p007,1,2,cabbage_2.jpg,4,6,plants,2,cabbage.jpg
p007,1,2,cactus_2.jpg,3,6,plants,2,cactus.jpg
p007,1,2,cherry_2.jpg,10,4,plants,2,cherry.jpg
p007,1,2,flower_2.jpg,6,3,plants,2,flower.jpg
p007,1,2,grass_2.jpg,8,6,plants,2,grass.jpg
p007,1,2,leaf_2.jpg,7,6,plants,2,leaf.jpg
p007,1,2,peanut_2.jpg,6,4,plants,2,peanut.jpg
p007,1,2,tree_2.jpg,9,6,plants,2,tree.jpg
p007,1,3,butterfly_2.jpg,5,6,animals,2,butterfly.jpg
p007,1,3,dolphin_2.jpg,3,5,animals,2,dolphin.jpg
p007,1,3,fish_2.jpg,1,5,animals,2,fish.jpg
p007,1,3,fox_2.jpg,3,6,animals,2,fox.jpg
p007,1,3,horse_2.jpg,8,3,animals,2,horse.jpg
p007,1,3,ladybug_2.jpg,4,6,animals,2,ladybug.jpg
p007,1,3,lion_2.jpg,7,3,animals,2,lion.jpg
p007,1,3,peacock_2.jpg,7,4,animals,2,peacock.jpg
p007,1,3,pigeon_2.jpg,1,6,animals,2,pigeon.jpg
p007,1,3,sheep_2.jpg,6,3,animals,2,sheep.jpg
p007,1,3,squirrel_2.jpg,2,6,animals,2,squirrel.jpg
p007,1,3,wolf_2.jpg,9,3,animals,2,wolf.jpg
p007,2,4,angry_1.jpg,6,2,emotions,1,angry.jpg
p007,2,4,angry_2.jpg,8,2,emotions,2,angry.jpg
p007,2,4,disgust_1.jpg,5,2,emotions,1,disgust.jpg
p007,2,4,disgust_2.jpg,7,2,emotions,2,disgust.jpg
p007,2,4,fearful_1.jpg,7,3,emotions,1,fearful.jpg
p007,2,4,fearful_2.jpg,5,5,emotions,2,fearful.jpg
p007,2,4,happy_1.jpg,10,2,emotions,1,happy.jpg
p007,2,4,happy_2.jpg,9,3,emotions,2,happy.jpg
p007,2,4,sad_1.jpg,5,3,emotions,1,sad.jpg
p007,2,4,sad_2.jpg,4,5,emotions,2,sad.jpg
